#{"t_start": 1616014378.9639986, "env_id": "mimocontrol-v0"}
r,l,t
-501,501,3203.62539
-501,501,3214.87754
-501,501,3225.697895
-317,317,3236.327773
-501,501,3243.382257
-501,501,3254.120846
-501,501,3264.839513
-501,501,3275.605106
-501,501,3286.420632
-501,501,3297.182697
-501,501,3308.004068
-501,501,3318.792948
-501,501,3329.637584
-501,501,3340.478904
-501,501,3351.36557
-501,501,3362.190835
-501,501,3372.938954
-501,501,3383.712859
-501,501,3394.518538
-501,501,3405.354766
-501,501,3416.285232
-501,501,3427.066919
-501,501,3437.840739
-501,501,3448.598904
-453,453,3459.864538
-501,501,3469.766281
-501,501,3480.512154
-501,501,3491.336084
-501,501,3502.091771
-501,501,3513.278331
-501,501,3524.598763
-501,501,3535.594642
-501,501,3546.318713
-501,501,3557.075076
-501,501,3568.263857
-501,501,3578.979058
-501,501,3589.778099
-501,501,3600.478733
-501,501,3611.180279
-501,501,3621.878034
-501,501,3632.595621
-501,501,3643.271769
-501,501,3654.211352
-501,501,3664.931922
-501,501,3675.655417
-501,501,3686.430819
-501,501,3697.181571
-501,501,3707.990247
-501,501,3718.773662
-501,501,3729.542509
-501,501,3740.245756
-501,501,3751.071096
-501,501,3761.801865
-501,501,3772.635457
-501,501,3784.231182
-501,501,3795.40889
-501,501,3806.717212
-266,266,3817.502612
-501,501,3823.638021
-501,501,3835.518274
-501,501,3847.463585
-501,501,3858.875274
-501,501,3869.695228
-501,501,3880.409351
-501,501,3891.161999
-501,501,3901.851554
-501,501,3913.265229
-337,337,3924.3665
-501,501,3932.367914
-501,501,3943.748846
-501,501,3954.737325
-501,501,3965.518337
-501,501,3976.322674
-501,501,3987.120927
-501,501,3997.850788
-501,501,4008.653099
-501,501,4019.42366
-501,501,4030.225091
-7,7,4040.713432
-501,501,4041.225097
-501,501,4051.946599
-501,501,4064.131832
-501,501,4075.071528
-501,501,4085.927995
-501,501,4096.654732
-501,501,4107.376253
-501,501,4118.085385
-501,501,4128.879571
-501,501,4139.642977
-501,501,4150.408952
-501,501,4161.214894
-501,501,4171.982206
-501,501,4183.09533
-501,501,4194.325459
-501,501,4205.396996
-501,501,4216.110203
-501,501,4226.838091
-501,501,4237.80368
-65,65,4248.272052
-289,289,4249.856308
-501,501,4256.175273
-501,501,4266.886336
-501,501,4277.598807
-501,501,4288.256078
-501,501,4298.984701
-501,501,4309.788168
-501,501,4320.465023
-501,501,4331.229231
-501,501,4341.920455
-501,501,4352.754619
-501,501,4363.533096
-501,501,4374.387342
-501,501,4385.304765
-501,501,4395.988257
-501,501,4406.796948
-501,501,4417.598421
-409,409,4428.326649
-501,501,4437.160581
-501,501,4447.897345
-501,501,4458.699013
-501,501,4469.979469
-501,501,4480.758159
-501,501,4491.56345
-501,501,4502.343049
-501,501,4513.142883
-501,501,4523.80271
-501,501,4534.518837
-501,501,4545.27283
-501,501,4556.020295
-501,501,4566.693598
-501,501,4577.406598
-501,501,4588.163104
-501,501,4598.825343
-501,501,4609.625044
-501,501,4620.460505
-32,32,4630.793335
-501,501,4631.827163
-501,501,4642.775835
-501,501,4654.04232
-290,290,4666.094887
-501,501,4672.923777
-501,501,4683.96662
-501,501,4694.606523
-501,501,4705.249797
-501,501,4715.955215
-501,501,4726.70724
-29,29,4737.044381
-501,501,4738.002818
-501,501,4748.681999
-501,501,4759.359515
-501,501,4770.066557
-501,501,4780.696146
-496,496,4791.405728
-501,501,4801.999971
-481,481,4812.643814
-501,501,4822.842363
-501,501,4833.51127
-341,341,4844.136978
-501,501,4851.526933
-501,501,4862.170781
-501,501,4872.853358
-501,501,4883.467141
-501,501,4894.129178
-75,75,4904.556926
-501,501,4906.467389
-501,501,4917.411786
-501,501,4928.022872
-501,501,4938.653858
-501,501,4949.312467
-501,501,4960.074027
-501,501,4970.765822
-501,501,4981.550704
-501,501,4992.276393
-501,501,5003.011477
-289,289,5013.530681
-501,501,5019.87238
-501,501,5030.552589
-209,209,5040.942446
-501,501,5045.647719
-501,501,5056.344175
-501,501,5067.056219
-501,501,5077.775355
-83,83,5088.216425
-501,501,5090.295407
-501,501,5100.935112
-501,501,5111.641883
-67,67,5122.014501
-501,501,5123.772814
-501,501,5134.415985
-501,501,5145.161592
-501,501,5155.838694
-388,388,5166.399698
-501,501,5174.739492
-501,501,5185.403116
-501,501,5196.066961
-501,501,5206.839718
-501,501,5217.540372
-501,501,5228.236983
-382,382,5239.073301
-501,501,5247.263077
-501,501,5259.442609
-501,501,5270.293462
-501,501,5280.970437
-501,501,5291.669562
-21,21,5301.934268
-501,501,5302.738118
-501,501,5313.543454
-501,501,5324.285422
-501,501,5335.090397
-501,501,5346.262576
-501,501,5357.141153
-501,501,5367.947423
-501,501,5378.715048
-91,91,5389.117931
-501,501,5391.36254
-33,33,5401.641176
-501,501,5402.713328
-501,501,5413.340847
-354,354,5423.848015
-247,247,5431.248973
-501,501,5436.660117
-115,115,5447.006685
-501,501,5449.751428
-501,501,5460.39311
-501,501,5470.96151
-501,501,5481.593271
-501,501,5492.235075
-501,501,5502.870495
-501,501,5513.587818
-501,501,5524.329412
-501,501,5535.045291
-501,501,5545.662237
-501,501,5556.314071
-501,501,5567.054711
-501,501,5577.729875
-501,501,5588.56921
-501,501,5599.179427
-501,501,5609.775906
-501,501,5620.420936
-501,501,5631.062821
-501,501,5641.656195
-501,501,5652.206134
-501,501,5662.8441
-501,501,5673.508778
-330,330,5684.02793
-501,501,5691.207831
-501,501,5701.835812
-338,338,5712.360897
-501,501,5719.622125
-501,501,5730.51308
-501,501,5748.483096
-501,501,5768.846767
-501,501,5788.890344
-501,501,5808.942156
-501,501,5828.810123
-501,501,5849.488854
-440,440,5871.420876
-501,501,5889.039156
-449,449,5908.719062
-501,501,5926.757719
-501,501,5947.441996
-501,501,5968.367255
-501,501,5988.828088
-162,162,6007.82508
-501,501,6014.639061
-501,501,6034.209662
-501,501,6053.918892
-501,501,6073.300208
-242,242,6092.623612
-501,501,6102.38537
-488,488,6122.127211
-501,501,6141.403331
-339,339,6161.618844
-501,501,6175.50526
-501,501,6195.852253
-501,501,6215.528098
-501,501,6235.396213
-501,501,6255.019602
-501,501,6275.611024
-501,501,6295.175659
-410,410,6314.839521
-501,501,6331.376523
-501,501,6351.224237
-501,501,6370.697773
-501,501,6390.478452
-501,501,6410.065681
-501,501,6430.173526
-501,501,6450.539105
-501,501,6470.691045
-501,501,6490.556643
-501,501,6510.263959
-501,501,6529.780528
-501,501,6549.164628
-501,501,6569.07061
-501,501,6588.766871
-501,501,6608.142888
-501,501,6627.677615
-501,501,6647.362529
-501,501,6666.869085
-501,501,6688.649786
-501,501,6709.380936
-501,501,6729.259835
-501,501,6749.098259
-501,501,6768.60281
-501,501,6788.368511
-501,501,6808.157652
-501,501,6827.726877
-501,501,6847.428196
-501,501,6868.634789
-501,501,6888.651672
-501,501,6908.153744
-501,501,6927.707265
-501,501,6947.203763
-501,501,6966.497221
-501,501,6986.201364
-501,501,7005.700937
-501,501,7025.827566
-501,501,7045.960535
-331,331,7065.918718
-501,501,7079.249
-501,501,7099.600523
-491,491,7114.438677
-501,501,7126.088495
-501,501,7138.134464
-501,501,7150.512789
-501,501,7162.341466
-501,501,7174.301654
-501,501,7185.643131
-501,501,7196.627163
-501,501,7207.879996
-501,501,7219.061826
-501,501,7230.52968
-501,501,7241.90213
-501,501,7254.675929
-501,501,7267.106237
-501,501,7278.098685
-501,501,7289.447165
-501,501,7301.141641
-187,187,7313.335593
-501,501,7318.774844
-400,400,7333.571297
-501,501,7345.310844
-501,501,7358.30764
-501,501,7369.521266
-501,501,7381.054265
-501,501,7393.407768
-501,501,7406.894638
-501,501,7419.029628
-501,501,7430.585738
-501,501,7442.148738
-501,501,7453.505764
-501,501,7464.742496
-501,501,7477.778182
-501,501,7489.361437
-501,501,7501.1112
-501,501,7512.629752
-53,53,7523.413677
-501,501,7524.901301
-501,501,7536.019678
-501,501,7547.330272
-501,501,7559.027831
-501,501,7570.499857
-501,501,7582.540408
-501,501,7593.961208
-501,501,7605.587138
-501,501,7618.054066
-501,501,7629.89009
-450,450,7641.658714
-195,195,7652.499327
-501,501,7657.490894
-501,501,7669.589985
-501,501,7681.511787
-356,356,7693.474483
-438,438,7702.355274
-501,501,7712.72464
-501,501,7724.195644
-501,501,7735.726326
-501,501,7747.080963
-501,501,7758.422136
-250,250,7769.725217
-501,501,7775.544145
-501,501,7787.213191
-70,70,7798.935996
-296,296,7800.854208
-501,501,7807.807691
-260,260,7819.466968
-501,501,7826.089623
-74,74,7838.248721
-501,501,7840.247973
-501,501,7851.755223
-501,501,7863.098011
-162,162,7874.270741
-501,501,7878.197949
-501,501,7889.774457
-381,381,7901.612897
-501,501,7910.408556
-501,501,7921.962657
-501,501,7934.927454
-501,501,7946.760363
-501,501,7959.245002
-501,501,7970.920545
-501,501,7982.846961
-501,501,7994.961638
-501,501,8007.028297
-501,501,8019.526676
-501,501,8031.140301
-501,501,8044.03141
-501,501,8057.993469
-456,456,8074.783164
-501,501,8091.836255
-501,501,8103.503048
-501,501,8115.155096
-501,501,8126.718459
-501,501,8138.224959
-501,501,8150.64492
-501,501,8162.168613
-165,165,8173.429641
-501,501,8177.918215
-501,501,8189.809174
-501,501,8201.314958
-501,501,8213.555498
-501,501,8225.728205
-501,501,8237.926637
-501,501,8250.446376
-501,501,8264.628669
-501,501,8277.77516
-501,501,8290.789557
-501,501,8303.625289
-501,501,8317.211495
-501,501,8332.579224
-501,501,8349.41866
-501,501,8365.187667
-501,501,8379.143532
-501,501,8392.262074
-501,501,8405.483914
-138,138,8417.975208
-501,501,8421.927925
-501,501,8434.75851
-501,501,8447.661109
-501,501,8460.262595
-148,148,8472.800106
-470,470,8476.778591
-501,501,8489.070495
-383,383,8503.300887
-501,501,8515.083833
-501,501,8530.937571
-319,319,8545.73592
-501,501,8554.807564
-501,501,8567.96505
-501,501,8580.408792
-20,20,8592.70483
-501,501,8593.650035
-501,501,8606.19329
-501,501,8618.912443
-501,501,8631.663303
-501,501,8644.217168
-142,142,8656.269066
-501,501,8660.224845
-501,501,8673.318983
-417,417,8688.797478
-47,47,8701.815632
-501,501,8703.769753
-501,501,8719.167564
-501,501,8732.238898
-501,501,8744.945749
-501,501,8757.092476
-501,501,8769.324433
-501,501,8781.827446
-501,501,8794.030998
-501,501,8806.432024
-501,501,8818.554587
-501,501,8831.893428
-501,501,8846.113805
-501,501,8862.72848
-501,501,8876.991219
-501,501,8889.299413
-501,501,8903.563756
-501,501,8915.172541
-501,501,8927.101601
-501,501,8938.690307
-501,501,8950.525518
-501,501,8963.503617
-144,144,8975.390389
-501,501,8978.957541
-501,501,8991.540907
-464,464,9003.091019
-501,501,9013.986525
-174,174,9025.277295
-501,501,9029.498678
-94,94,9040.641869
-501,501,9043.100264
-501,501,9054.587786
-501,501,9066.010922
-501,501,9077.893369
-501,501,9091.505794
-501,501,9103.847224
-501,501,9116.30478
-501,501,9127.923134
-501,501,9139.401054
-501,501,9150.871862
-107,107,9161.963498
-387,387,9164.772655
-28,28,9173.423141
-501,501,9174.446776
-501,501,9186.306989
-501,501,9199.329675
-226,226,9214.49265
-501,501,9221.745396
-501,501,9235.576564
-501,501,9249.29021
-501,501,9264.950716
